CarIdx: 0, UserName: Jeongmin Kim2, ClubName: '', Length: 0
CarIdx: 1, UserName: Jason Bryfogle, ClubName: '', Length: 0
CarIdx: 2, UserName: Susan Flint, ClubName: '', Length: 0
CarIdx: 3, UserName: Steven Kourepenos, ClubName: '', Length: 0
CarIdx: 4, UserName: Nik McCarter, ClubName: '', Length: 0
CarIdx: 5, UserName: Doug Hunt, ClubName: '', Length: 0
CarIdx: 6, UserName: Eric Hudec, ClubName: '', Length: 0
CarIdx: 7, UserName: David Tucker, ClubName: '', Length: 0
CarIdx: 8, UserName: Aussie Greg Hill, ClubName: '', Length: 0
CarIdx: 9, UserName: Tyler Hudson, ClubName: '', Length: 0
CarIdx: 10, UserName: Nim Cross, ClubName: '', Length: 0
CarIdx: 11, UserName: Michael Henry, ClubName: '', Length: 0
CarIdx: 12, UserName: John West, ClubName: '', Length: 0
CarIdx: 13, UserName: Michael Leavine, ClubName: '', Length: 0
CarIdx: 14, UserName: Jeff Rubin, ClubName: '', Length: 0
CarIdx: 15, UserName: Jimmy Broadbent, ClubName: '', Length: 0
CarIdx: 16, UserName: Kipling Knaus, ClubName: '', Length: 0
CarIdx: 17, UserName: Dano Garrison, ClubName: '', Length: 0
CarIdx: 18, UserName: Jose Diaz Castillo, ClubName: '', Length: 0
CarIdx: 19, UserName: Dave Kaemmer, ClubName: '', Length: 0
CarIdx: 20, UserName: Max Kearney, ClubName: '', Length: 0
CarIdx: 21, UserName: Josh Garner, ClubName: '', Length: 0
CarIdx: 22, UserName: Nigel Pattinson, ClubName: '', Length: 0
CarIdx: 23, UserName: Alex Gustafson, ClubName: '', Length: 0
CarIdx: 24, UserName: Pace Car, ClubName: '', Length: 0
CarIdx: 0, UserName: Jeongmin Kim2, ClubName: '', Length: 0
CarIdx: 1, UserName: Jason Bryfogle, ClubName: '', Length: 0
CarIdx: 2, UserName: Susan Flint, ClubName: '', Length: 0
CarIdx: 3, UserName: Steven Kourepenos, ClubName: '', Length: 0
CarIdx: 4, UserName: Nik McCarter, ClubName: '', Length: 0
CarIdx: 5, UserName: Doug Hunt, ClubName: '', Length: 0
CarIdx: 6, UserName: Eric Hudec, ClubName: '', Length: 0
CarIdx: 7, UserName: David Tucker, ClubName: '', Length: 0
CarIdx: 8, UserName: Aussie Greg Hill, ClubName: '', Length: 0
CarIdx: 9, UserName: Tyler Hudson, ClubName: '', Length: 0
CarIdx: 10, UserName: Nim Cross, ClubName: '', Length: 0
CarIdx: 11, UserName: Michael Henry, ClubName: '', Length: 0
CarIdx: 12, UserName: John West, ClubName: '', Length: 0
CarIdx: 13, UserName: Michael Leavine, ClubName: '', Length: 0
CarIdx: 14, UserName: Jeff Rubin, ClubName: '', Length: 0
CarIdx: 15, UserName: Jimmy Broadbent, ClubName: '', Length: 0
CarIdx: 16, UserName: Kipling Knaus, ClubName: '', Length: 0
CarIdx: 17, UserName: Dano Garrison, ClubName: '', Length: 0
CarIdx: 18, UserName: Jose Diaz Castillo, ClubName: '', Length: 0
